abyssal_blade | [s] None => 4511 | [h] None => 4ce61c10e0 | 2023-11-16 13:28:40 (UTC+3)
broadsword | [s] None => 2084 | [h] None => 3c103cb08b | 2023-11-16 13:28:40 (UTC+3)
broom_handle | [s] None => 2377 | [h] None => 91f474b258 | 2023-11-16 13:28:40 (UTC+3)
buckler | [s] None => 2502 | [h] None => 88eb2a471e | 2023-11-16 13:28:40 (UTC+3)
bullwhip | [s] None => 2763 | [h] None => 9aaa4ec418 | 2023-11-16 13:28:40 (UTC+3)
butterfly | [s] None => 2596 | [h] None => b1c4376b0d | 2023-11-16 13:28:40 (UTC+3)
ceremonial_robe | [s] None => 2630 | [h] None => e42016b5b6 | 2023-11-16 13:28:40 (UTC+3)
chainmail | [s] None => 2013 | [h] None => dd51d5abfc | 2023-11-16 13:28:40 (UTC+3)
cheese | [s] None => 2326 | [h] None => 6e83b77e2b | 2023-11-16 13:28:40 (UTC+3)
chipped_vest | [s] None => 2454 | [h] None => 493ab2d923 | 2023-11-16 13:28:40 (UTC+3)
circlet | [s] None => 2030 | [h] None => f0deb2d77d | 2023-11-16 13:28:40 (UTC+3)
clarity | [s] None => 2388 | [h] None => aac587b7ec | 2023-11-16 13:28:40 (UTC+3)
claymore | [s] None => 2078 | [h] None => c47e51ceda | 2023-11-16 13:28:40 (UTC+3)
cloak | [s] None => 2268 | [h] None => ba1dea036f | 2023-11-16 13:28:40 (UTC+3)
cloak_of_flames | [s] None => 2749 | [h] None => cac3aa1418 | 2023-11-16 13:28:40 (UTC+3)
clumsy_net | [s] None => 2384 | [h] None => 62b151b618 | 2023-11-16 13:28:40 (UTC+3)
combo_breaker | [s] None => 1838 | [h] None => ae7bbf16d1 | 2023-11-16 13:28:40 (UTC+3)
cornucopia | [s] None => 2288 | [h] None => f0ac4cbc89 | 2023-11-16 13:28:40 (UTC+3)
courier | [s] None => 1985 | [h] None => 4634ecc002 | 2023-11-16 13:28:40 (UTC+3)
craggy_coat | [s] None => 2372 | [h] None => 6a7cdee575 | 2023-11-16 13:28:40 (UTC+3)
crimson_guard | [s] None => 4210 | [h] None => 514674c098 | 2023-11-16 13:28:40 (UTC+3)
crown | [s] None => 2099 | [h] None => 2db1ddd8ea | 2023-11-16 13:28:40 (UTC+3)
cyclone | [s] None => 3258 | [h] None => 17c3c2c3b6 | 2023-11-16 13:28:40 (UTC+3)
dagger_of_ristul | [s] None => 2632 | [h] None => 6086dcf6f2 | 2023-11-16 13:28:40 (UTC+3)
dagon | [s] None => 3654 | [h] None => 5007a34f2f | 2023-11-16 13:28:40 (UTC+3)
dagon_2 | [s] None => 3587 | [h] None => 5934cb0ee9 | 2023-11-16 13:28:40 (UTC+3)
dagon_3 | [s] None => 3587 | [h] None => abb7e284cc | 2023-11-16 13:28:40 (UTC+3)
dagon_4 | [s] None => 3587 | [h] None => b306c906a1 | 2023-11-16 13:28:40 (UTC+3)
dagon_5 | [s] None => 3575 | [h] None => fe86feccb3 | 2023-11-16 13:28:40 (UTC+3)
dandelion_amulet | [s] None => 2547 | [h] None => 26f026b857 | 2023-11-16 13:28:40 (UTC+3)
defiant_shell | [s] None => 2390 | [h] None => c28300130a | 2023-11-16 13:28:40 (UTC+3)
demon_edge | [s] None => 2095 | [h] None => a4194cec4d | 2023-11-16 13:28:40 (UTC+3)
demonicon | [s] None => 2495 | [h] None => abf22ae1e7 | 2023-11-16 13:28:40 (UTC+3)
desolator | [s] None => 3074 | [h] None => 10bfa319a9 | 2023-11-16 13:28:40 (UTC+3)
desolator_2 | [s] None => 2516 | [h] None => 601da30a0c | 2023-11-16 13:28:40 (UTC+3)
diadem | [s] None => 1982 | [h] None => 64e078d55a | 2023-11-16 13:28:40 (UTC+3)
diffusal_blade | [s] None => 3705 | [h] None => de9c012552 | 2023-11-16 13:28:40 (UTC+3)
dimensional_doorway | [s] None => 1926 | [h] None => 9480353c33 | 2023-11-16 13:28:40 (UTC+3)
disperser | [s] None => 4871 | [h] None => f93e3267f8 | 2023-11-16 13:28:40 (UTC+3)
dragon_lance | [s] None => 2442 | [h] None => a8b0abfff2 | 2023-11-16 13:28:40 (UTC+3)
dragon_scale | [s] None => 2622 | [h] None => caad28ab0c | 2023-11-16 13:28:40 (UTC+3)
duelist_gloves | [s] None => 2382 | [h] None => 551cf3405a | 2023-11-16 13:28:40 (UTC+3)
dust | [s] None => 2965 | [h] None => 74060f2d9f | 2023-11-16 13:28:40 (UTC+3)
eagle | [s] None => 2089 | [h] None => 98dc45cbbd | 2023-11-16 13:28:40 (UTC+3)
echo_sabre | [s] None => 3227 | [h] None => 4794b50e2f | 2023-11-16 13:28:40 (UTC+3)
elixer | [s] None => 2450 | [h] None => 92d68ee20d | 2023-11-16 13:28:40 (UTC+3)
elven_tunic | [s] None => 2327 | [h] None => f8a390f4bf | 2023-11-16 13:28:40 (UTC+3)
enchanted_mango | [s] None => 2367 | [h] None => e7f81d631c | 2023-11-16 13:28:40 (UTC+3)
enchanted_quiver | [s] None => 2562 | [h] None => bd6902e8d9 | 2023-11-16 13:28:40 (UTC+3)
energy_booster | [s] None => 2104 | [h] None => 36425dd1d2 | 2023-11-16 13:28:40 (UTC+3)
essence_ring | [s] None => 2587 | [h] None => 72021e8851 | 2023-11-16 13:28:40 (UTC+3)
eternal_shroud | [s] None => 2598 | [h] None => 918fc63ac0 | 2023-11-16 13:28:40 (UTC+3)
ethereal_blade | [s] None => 4576 | [h] None => 75c47b6bb0 | 2023-11-16 13:28:40 (UTC+3)
ex_machina | [s] None => 2143 | [h] None => 421a683ea3 | 2023-11-16 13:28:40 (UTC+3)
eye_of_the_vizier | [s] None => 2436 | [h] None => 0952455994 | 2023-11-16 13:28:40 (UTC+3)
faded_broach | [s] None => 2201 | [h] None => 18aafe4e35 | 2023-11-16 13:28:40 (UTC+3)
faerie_fire | [s] None => 2270 | [h] None => 8d87682c6c | 2023-11-16 13:28:40 (UTC+3)
falcon_blade | [s] None => 2366 | [h] None => b5d7a71b51 | 2023-11-16 13:28:40 (UTC+3)
fallen_sky | [s] None => 4589 | [h] None => 07ee57fcb4 | 2023-11-16 13:28:40 (UTC+3)
famango | [s] None => 2157 | [h] None => 56e16aff89 | 2023-11-16 13:28:40 (UTC+3)
flask | [s] None => 2607 | [h] None => 1f597723da | 2023-11-16 13:28:40 (UTC+3)
flicker | [s] None => 2667 | [h] None => 2f79641a0d | 2023-11-16 13:28:40 (UTC+3)
fluffy_hat | [s] None => 2050 | [h] None => f65f7a681f | 2023-11-16 13:28:40 (UTC+3)
flying_courier | [s] None => 2129 | [h] None => 7bb4306f1b | 2023-11-16 13:28:40 (UTC+3)
force_boots | [s] None => 2854 | [h] None => 7d6e646e34 | 2023-11-16 13:28:40 (UTC+3)
force_field | [s] None => 3080 | [h] None => 9682d4ffc5 | 2023-11-16 13:28:40 (UTC+3)
force_staff | [s] None => 2913 | [h] None => 64873b3869 | 2023-11-16 13:28:40 (UTC+3)
fortitude_ring | [s] None => 2413 | [h] None => 10f9522e23 | 2023-11-16 13:28:40 (UTC+3)
fusion_rune | [s] None => 2119 | [h] None => 434bde3f11 | 2023-11-16 13:28:40 (UTC+3)
gauntlets | [s] None => 2043 | [h] None => bedf35ce09 | 2023-11-16 13:28:40 (UTC+3)
gem | [s] None => 2794 | [h] None => 412010863d | 2023-11-16 13:28:40 (UTC+3)
ghost | [s] None => 2684 | [h] None => e6a9829029 | 2023-11-16 13:28:40 (UTC+3)
giants_ring | [s] None => 2819 | [h] None => 84de16920c | 2023-11-16 13:28:40 (UTC+3)
gladiator_helm | [s] None => 2486 | [h] None => aeec86618a | 2023-11-16 13:28:40 (UTC+3)
glimmer_cape | [s] None => 3076 | [h] None => e5c3bb5900 | 2023-11-16 13:28:40 (UTC+3)
gloves | [s] None => 2060 | [h] None => febf45efb9 | 2023-11-16 13:28:40 (UTC+3)
gloves_of_travel | [s] None => 2243 | [h] None => 8865971d25 | 2023-11-16 13:28:40 (UTC+3)
gossamer_cape | [s] None => 2071 | [h] None => bda2be365b | 2023-11-16 13:28:40 (UTC+3)
grandmasters_glaive | [s] None => 4811 | [h] None => 15db89c69b | 2023-11-16 13:28:40 (UTC+3)
great_famango | [s] None => 2169 | [h] None => fe7253d6b2 | 2023-11-16 13:28:40 (UTC+3)
greater_crit | [s] None => 2517 | [h] None => 9d4c62f5a0 | 2023-11-16 13:28:40 (UTC+3)
greater_faerie_fire | [s] None => 2203 | [h] None => 4560b298ee | 2023-11-16 13:28:40 (UTC+3)
greater_famango | [s] None => 2173 | [h] None => 0c3909092b | 2023-11-16 13:28:40 (UTC+3)
greater_mango | [s] None => 2012 | [h] None => 254a909537 | 2023-11-16 13:28:40 (UTC+3)
grove_bow | [s] None => 2609 | [h] None => a0f526a28d | 2023-11-16 13:28:40 (UTC+3)
guardian_greaves | [s] None => 4560 | [h] None => 810d3471eb | 2023-11-16 13:28:40 (UTC+3)
gungir | [s] None => 4181 | [h] None => f8f1d2e3ea | 2023-11-16 13:28:40 (UTC+3)
hand_of_midas | [s] None => 2805 | [h] None => 934ccb6388 | 2023-11-16 13:28:40 (UTC+3)
harpoon | [s] None => 4581 | [h] None => ca9257c7f6 | 2023-11-16 13:28:40 (UTC+3)
havoc_hammer | [s] None => 3387 | [h] None => 60e62b457a | 2023-11-16 13:28:40 (UTC+3)
headdress | [s] None => 2445 | [h] None => 53f7b2b36b | 2023-11-16 13:28:40 (UTC+3)
heart | [s] None => 2364 | [h] None => 7d5bb79911 | 2023-11-16 13:28:40 (UTC+3)
heavens_halberd | [s] None => 3036 | [h] None => ecc71314f3 | 2023-11-16 13:28:40 (UTC+3)
heavy_blade | [s] None => 2656 | [h] None => f6f8a76bf1 | 2023-11-16 13:28:40 (UTC+3)
helm_of_iron_will | [s] None => 2193 | [h] None => 6a8f69a0e4 | 2023-11-16 13:28:40 (UTC+3)
helm_of_the_dominator | [s] None => 4482 | [h] None => 61d8681473 | 2023-11-16 13:28:40 (UTC+3)
helm_of_the_overlord | [s] None => 5401 | [h] None => 937205c4aa | 2023-11-16 13:28:40 (UTC+3)
helm_of_the_undying | [s] None => 2233 | [h] None => 62a8db6fa8 | 2023-11-16 13:28:40 (UTC+3)
hermes_sandals | [s] None => 3444 | [h] None => cff15ad4c7 | 2023-11-16 13:28:40 (UTC+3)
holy_locket | [s] None => 3923 | [h] None => 17e145c8a0 | 2023-11-16 13:28:40 (UTC+3)
hood_of_defiance | [s] None => 2839 | [h] None => cc72370e97 | 2023-11-16 13:28:40 (UTC+3)
horizon | [s] None => 2335 | [h] None => 2079210b91 | 2023-11-16 13:28:40 (UTC+3)
horizons_equilibrium | [s] None => 2756 | [h] None => 52fda99e17 | 2023-11-16 13:28:40 (UTC+3)
hurricane_pike | [s] None => 4553 | [h] None => 1ea8b92739 | 2023-11-16 13:28:40 (UTC+3)
hyperstone | [s] None => 2057 | [h] None => ae1b58b659 | 2023-11-16 13:28:40 (UTC+3)
icarus_wings | [s] None => 2509 | [h] None => 056f6ae1ca | 2023-11-16 13:28:40 (UTC+3)
illusionsts_cape | [s] None => 3364 | [h] None => 57f45758e0 | 2023-11-16 13:28:40 (UTC+3)
imp_claw | [s] None => 2365 | [h] None => 55fef4e58d | 2023-11-16 13:28:40 (UTC+3)
infused_raindrop | [s] None => 2745 | [h] None => 379deb856b | 2023-11-16 13:28:40 (UTC+3)
invis_sword | [s] None => 3261 | [h] None => 23a8e65481 | 2023-11-16 13:28:40 (UTC+3)
iron_talon | [s] None => 3040 | [h] None => d16c67599f | 2023-11-16 13:28:40 (UTC+3)
ironwood_tree | [s] None => 2311 | [h] None => 2425a39772 | 2023-11-16 13:28:40 (UTC+3)
javelin | [s] None => 2357 | [h] None => e6014c1c1e | 2023-11-16 13:28:40 (UTC+3)
kaya | [s] None => 2575 | [h] None => 7556957ead | 2023-11-16 13:28:40 (UTC+3)
kaya_and_sange | [s] None => 3054 | [h] None => 20ebfb6d5f | 2023-11-16 13:28:40 (UTC+3)
keen_optic | [s] None => 2233 | [h] None => 20f3217f98 | 2023-11-16 13:28:40 (UTC+3)
lance_of_pursuit | [s] None => 3078 | [h] None => 263d4289c0 | 2023-11-16 13:28:40 (UTC+3)
lesser_crit | [s] None => 2636 | [h] None => 0ec2384991 | 2023-11-16 13:28:40 (UTC+3)
lifesteal | [s] None => 2362 | [h] None => b4d9aab371 | 2023-11-16 13:28:40 (UTC+3)
light_robes | [s] None => 2118 | [h] None => 1416a541f4 | 2023-11-16 13:28:40 (UTC+3)
lotus_orb | [s] None => 2972 | [h] None => c91e0f5024 | 2023-11-16 13:28:40 (UTC+3)
lunar_crest | [s] None => 2860 | [h] None => eaf6c42294 | 2023-11-16 13:28:40 (UTC+3)
maelstrom | [s] None => 3364 | [h] None => 3f74d0a4ce | 2023-11-16 13:28:40 (UTC+3)
mage_slayer | [s] None => 3083 | [h] None => 640cff99bb | 2023-11-16 13:28:40 (UTC+3)
magic_stick | [s] None => 2729 | [h] None => 2a589d775b | 2023-11-16 13:28:40 (UTC+3)
magic_wand | [s] None => 2867 | [h] None => 6f32f1b9b0 | 2023-11-16 13:28:40 (UTC+3)
manacles_of_power | [s] None => 2539 | [h] None => 1a94486924 | 2023-11-16 13:28:40 (UTC+3)
mango_tree | [s] None => 2231 | [h] None => 7de7d95640 | 2023-11-16 13:28:40 (UTC+3)
manta | [s] None => 4721 | [h] None => 9dd14c67e2 | 2023-11-16 13:28:40 (UTC+3)
mantle | [s] None => 2053 | [h] None => 07bb942bac | 2023-11-16 13:28:40 (UTC+3)
martyrs_plate | [s] None => 2710 | [h] None => 97cf926b0d | 2023-11-16 13:28:40 (UTC+3)
mask_of_madness | [s] None => 3506 | [h] None => d3c82f636f | 2023-11-16 13:28:40 (UTC+3)
mechanical_arm | [s] None => 2248 | [h] None => 47cbca88cc | 2023-11-16 13:28:40 (UTC+3)
medallion_of_courage | [s] None => 2779 | [h] None => 35708c3c29 | 2023-11-16 13:28:40 (UTC+3)
mekansm | [s] None => 3010 | [h] None => a6c224f1fc | 2023-11-16 13:28:40 (UTC+3)
meteor_hammer | [s] None => 4740 | [h] None => a9e68ce4bc | 2023-11-16 13:28:40 (UTC+3)
mind_breaker | [s] None => 2469 | [h] None => b3301ea1b7 | 2023-11-16 13:28:40 (UTC+3)
minotaur_horn | [s] None => 2285 | [h] None => 80c83a583f | 2023-11-16 13:28:40 (UTC+3)
mirror_shield | [s] None => 2443 | [h] None => c9f015784f | 2023-11-16 13:28:40 (UTC+3)
misericorde | [s] None => 2620 | [h] None => 0df48ce651 | 2023-11-16 13:28:40 (UTC+3)
mithril_hammer | [s] None => 2028 | [h] None => 3ce7b3709a | 2023-11-16 13:28:40 (UTC+3)
mjollnir | [s] None => 5332 | [h] None => 87d5b87188 | 2023-11-16 13:28:40 (UTC+3)
monkey_king_bar | [s] None => 2613 | [h] None => c43f988289 | 2023-11-16 13:28:40 (UTC+3)
moon_shard | [s] None => 2718 | [h] None => 44ae018147 | 2023-11-16 13:28:40 (UTC+3)
muertas_gun | [s] None => 4399 | [h] None => daacf0a62c | 2023-11-16 13:28:40 (UTC+3)
mutation_tombstone | [s] None => 1864 | [h] None => 2d7c39e101 | 2023-11-16 13:28:40 (UTC+3)
mysterious_hat | [s] None => 2393 | [h] None => be228ecfec | 2023-11-16 13:28:40 (UTC+3)
mystic_staff | [s] None => 2050 | [h] None => 28031eaa69 | 2023-11-16 13:28:40 (UTC+3)
necronomicon | [s] None => 4684 | [h] None => 7039e048be | 2023-11-16 13:28:40 (UTC+3)
necronomicon_2 | [s] None => 4686 | [h] None => 8c003f11be | 2023-11-16 13:28:40 (UTC+3)
necronomicon_3 | [s] None => 4686 | [h] None => a17414d97d | 2023-11-16 13:28:40 (UTC+3)
nether_shawl | [s] None => 2383 | [h] None => bbad934b24 | 2023-11-16 13:28:40 (UTC+3)
ninja_gear | [s] None => 2885 | [h] None => 7e416c9432 | 2023-11-16 13:28:40 (UTC+3)
null_talisman | [s] None => 2825 | [h] None => 51760caf57 | 2023-11-16 13:28:40 (UTC+3)
nullifier | [s] None => 3159 | [h] None => cc8a55c290 | 2023-11-16 13:28:40 (UTC+3)
oakheart | [s] None => 2430 | [h] None => 7a10c4cba6 | 2023-11-16 13:28:40 (UTC+3)
oblivion_staff | [s] None => 2561 | [h] None => 32e0fcf221 | 2023-11-16 13:28:40 (UTC+3)
occult_bracelet | [s] None => 2791 | [h] None => 6723ff9a59 | 2023-11-16 13:28:40 (UTC+3)
ocean_heart | [s] None => 2423 | [h] None => 7af9811fff | 2023-11-16 13:28:40 (UTC+3)
octarine_core | [s] None => 2737 | [h] None => 127e4bdb31 | 2023-11-16 13:28:40 (UTC+3)
ofrenda | [s] None => 2176 | [h] None => 8986222a44 | 2023-11-16 13:28:40 (UTC+3)
ofrenda_pledge | [s] None => 2536 | [h] None => fa5746de88 | 2023-11-16 13:28:40 (UTC+3)
ofrenda_shovel | [s] None => 2022 | [h] None => c742a7b34f | 2023-11-16 13:28:40 (UTC+3)
ogre_axe | [s] None => 2021 | [h] None => b3cff54921 | 2023-11-16 13:28:40 (UTC+3)
ogre_seal_totem | [s] None => 3312 | [h] None => f2448b3228 | 2023-11-16 13:28:40 (UTC+3)
orb_of_corrosion | [s] None => 2999 | [h] None => 4c48a15827 | 2023-11-16 13:28:40 (UTC+3)
orb_of_destruction | [s] None => 2668 | [h] None => 9aa70922a6 | 2023-11-16 13:28:40 (UTC+3)
orb_of_venom | [s] None => 2946 | [h] None => f18c13ecce | 2023-11-16 13:28:40 (UTC+3)
orchid | [s] None => 3179 | [h] None => 403f93a28d | 2023-11-16 13:28:40 (UTC+3)
overflowing_elixir | [s] None => 2333 | [h] None => 89ac2ef6d6 | 2023-11-16 13:28:40 (UTC+3)
overwhelming_blink | [s] None => 4206 | [h] None => 1076d82c14 | 2023-11-16 13:28:40 (UTC+3)
paintball | [s] None => 2554 | [h] None => 8c87910353 | 2023-11-16 13:28:40 (UTC+3)
paladin_sword | [s] None => 2832 | [h] None => 7155369fce | 2023-11-16 13:28:40 (UTC+3)
panic_button | [s] None => 2411 | [h] None => 9188d055a1 | 2023-11-16 13:28:40 (UTC+3)
pavise | [s] None => 2728 | [h] None => 571026e796 | 2023-11-16 13:28:40 (UTC+3)
penta_edged_sword | [s] None => 2998 | [h] None => dc17689103 | 2023-11-16 13:28:40 (UTC+3)
pers | [s] None => 2184 | [h] None => ce13d97d3d | 2023-11-16 13:28:40 (UTC+3)
phase_boots | [s] None => 3791 | [h] None => b679db6cc6 | 2023-11-16 13:28:40 (UTC+3)
philosophers_stone | [s] None => 2393 | [h] None => f42f99e40f | 2023-11-16 13:28:40 (UTC+3)
phoenix_ash | [s] None => 2147 | [h] None => 51696c8f9d | 2023-11-16 13:28:40 (UTC+3)
phylactery | [s] None => 3021 | [h] None => 1c9959bc55 | 2023-11-16 13:28:40 (UTC+3)
pipe | [s] None => 4088 | [h] None => 11b5a86b26 | 2023-11-16 13:28:40 (UTC+3)
pirate_hat | [s] None => 2292 | [h] None => b8a997574a | 2023-11-16 13:28:40 (UTC+3)
platemail | [s] None => 2062 | [h] None => f262e1b63b | 2023-11-16 13:28:40 (UTC+3)
pocket_roshan | [s] None => 1997 | [h] None => 7377813d10 | 2023-11-16 13:28:40 (UTC+3)
pocket_tower | [s] None => 1857 | [h] None => f0e3913be0 | 2023-11-16 13:28:40 (UTC+3)
pogo_stick | [s] None => 2628 | [h] None => 3dd5f0de5c | 2023-11-16 13:28:40 (UTC+3)
point_booster | [s] None => 2202 | [h] None => 75b030e822 | 2023-11-16 13:28:40 (UTC+3)
poor_mans_shield | [s] None => 2895 | [h] None => 2075877021 | 2023-11-16 13:28:40 (UTC+3)
possessed_mask | [s] None => 2419 | [h] None => 50e27bf7f5 | 2023-11-16 13:28:40 (UTC+3)
power_treads | [s] None => 3000 | [h] None => ee1fa1ccd5 | 2023-11-16 13:28:40 (UTC+3)
princes_knife | [s] None => 2379 | [h] None => 0118726c57 | 2023-11-16 13:28:40 (UTC+3)
psychic_headband | [s] None => 2583 | [h] None => 7afe696d3b | 2023-11-16 13:28:40 (UTC+3)
pupils_gift | [s] None => 2147 | [h] None => 3e1cbdd73a | 2023-11-16 13:28:40 (UTC+3)
quarterstaff | [s] None => 2181 | [h] None => ff54e94369 | 2023-11-16 13:28:40 (UTC+3)
quelling_blade | [s] None => 2643 | [h] None => b6d609b3a1 | 2023-11-16 13:28:40 (UTC+3)
quickening_charm | [s] None => 2279 | [h] None => e1c1435aff | 2023-11-16 13:28:40 (UTC+3)
quicksilver_amulet | [s] None => 2957 | [h] None => a71d88b69a | 2023-11-16 13:28:40 (UTC+3)
radiance | [s] None => 3356 | [h] None => ec367ca529 | 2023-11-16 13:28:40 (UTC+3)
rapier | [s] None => 2494 | [h] None => 0c193776e9 | 2023-11-16 13:28:40 (UTC+3)
reaver | [s] None => 2034 | [h] None => 2eacbc537f | 2023-11-16 13:28:40 (UTC+3)
recipe_abyssal_blade | [s] None => 1868 | [h] None => 0258a4b3b6 | 2023-11-16 13:28:40 (UTC+3)
recipe_aeon_disk | [s] None => 1860 | [h] None => 62a0d0180d | 2023-11-16 13:28:40 (UTC+3)
recipe_aether_lens | [s] None => 1863 | [h] None => f13d72ca88 | 2023-11-16 13:28:40 (UTC+3)
recipe_ancient_janggo | [s] None => 1872 | [h] None => 1c4909b645 | 2023-11-16 13:28:40 (UTC+3)
recipe_arcane_blink | [s] None => 1866 | [h] None => 94de94ca7a | 2023-11-16 13:28:40 (UTC+3)
recipe_arcane_boots | [s] None => 1844 | [h] None => 04607159c0 | 2023-11-16 13:28:40 (UTC+3)
recipe_armlet | [s] None => 1867 | [h] None => 6509092901 | 2023-11-16 13:28:40 (UTC+3)
recipe_assault | [s] None => 1864 | [h] None => 838b2937bd | 2023-11-16 13:28:40 (UTC+3)
recipe_basher | [s] None => 1859 | [h] None => d2df6530dc | 2023-11-16 13:28:40 (UTC+3)
recipe_bfury | [s] None => 1857 | [h] None => 5c6c2aaa70 | 2023-11-16 13:28:40 (UTC+3)
recipe_black_king_bar | [s] None => 1870 | [h] None => 276a29087d | 2023-11-16 13:28:40 (UTC+3)
recipe_blade_mail | [s] None => 1861 | [h] None => cc7934b41e | 2023-11-16 13:28:40 (UTC+3)
recipe_bloodstone | [s] None => 1861 | [h] None => eac1b019b6 | 2023-11-16 13:28:40 (UTC+3)
recipe_bloodthorn | [s] None => 1861 | [h] None => f7b984fdb8 | 2023-11-16 13:28:40 (UTC+3)
recipe_boots_of_bearing | [s] None => 1874 | [h] None => 04a46e9497 | 2023-11-16 13:28:40 (UTC+3)
recipe_bracer | [s] None => 1852 | [h] None => 3e8b3801dd | 2023-11-16 13:28:40 (UTC+3)
recipe_buckler | [s] None => 1854 | [h] None => d4ddbb759a | 2023-11-16 13:28:40 (UTC+3)
recipe_butterfly | [s] None => 1841 | [h] None => 75ecab4f59 | 2023-11-16 13:28:40 (UTC+3)
recipe_crimson_guard | [s] None => 1868 | [h] None => 4612121f1b | 2023-11-16 13:28:40 (UTC+3)
recipe_cyclone | [s] None => 1860 | [h] None => ea6cbe9bf5 | 2023-11-16 13:28:40 (UTC+3)
recipe_dagon | [s] None => 1852 | [h] None => 58fb48d521 | 2023-11-16 13:28:40 (UTC+3)
recipe_dagon_2 | [s] None => 1839 | [h] None => 195e4a2dc0 | 2023-11-16 13:28:40 (UTC+3)
